#,Year,Month,Constituency,CountyBoroughUniv,Franchise,ByElectionGeneral,ByElectionCause,Contested,ElectionCode,PollBookCode,Notes,Latitude,Longitude
8308,1831,Apr,Aldeburgh,B,Freeman,G,,N,Aldeburgh_1831a,,,,
355,1695,Oct,Amersham,B,Inhabitant,G,,Y,Amersham_1695a,,,,
356,1698,July,Amersham,B,Inhabitant,G,,Y,Amersham_1698a,,,,
357,1699,Jan,Amersham,B,Inhabitant,B,Chose to sit for another constituency,N,Amersham_1699a,,,,
358,1701,Jan,Amersham,B,Inhabitant,G,,N,Amersham_1701a,,,,
359,1701,Feb,Amersham,B,Inhabitant,B,Deceased,N,Amersham_1701b,,,,
360,1701,Mar,Amersham,B,Inhabitant,B,Chose to sit for another constituency,N,Amersham_1701c,,,,
361,1701,Nov,Amersham,B,Inhabitant,G,,Y,Amersham_1701d,,,,
362,1702,July,Amersham,B,Inhabitant,G,,N,Amersham_1702a,,,,
363,1702,Nov,Amersham,B,Inhabitant,B,Chose to sit for another constituency,N,Amersham_1702b,,,,
364,1705,May,Amersham,B,Scot and Lot,G,,Y,Amersham_1705a,,,,
365,1707,Nov,Amersham,B,Scot and Lot,B,Became peer,N,Amersham_1707a,,,,
366,1708,May,Amersham,B,Scot and Lot,G,,N,Amersham_1708a,,,,
367,1710,Oct,Amersham,B,Scot and Lot,G,,N,Amersham_1710a,,,,
368,1713,Aug,Amersham,B,Scot and Lot,G,,N,Amersham_1713a,,,,
369,1714,Mar,Amersham,B,Scot and Lot,B,Chose to sit for another constituency,N,Amersham_1714a,,,,
370,1715,Jan,Amersham,B,Scot and Lot,G,,N,Amersham_1715a,,,,
371,1717,July,Amersham,B,Scot and Lot,B,Deceased,N,Amersham_1717a,,,,
372,1722,Mar,Amersham,B,Scot and Lot,G,,N,Amersham_1722a,,,,
373,1722,Oct,Amersham,B,Scot and Lot,B,Chose to sit for another constituency,N,Amersham_1722b,,,,
374,1727,Aug,Amersham,B,Scot and Lot,G,,N,Amersham_1727a,,,,
375,1728,Feb,Amersham,B,Scot and Lot,B,Chose to sit for another constituency,N,Amersham_1728a,,,,
376,1728,May,Amersham,B,Scot and Lot,B,Deceased,Y,Amersham_1728b,,,,
377,1734,Apr,Amersham,B,Scot and Lot,G,,Y,Amersham_1734a,,,,
378,1735,Feb,Amersham,B,Scot and Lot,B,Deceased,Y,Amersham_1735a,,,,
379,1741,May,Amersham,B,Scot and Lot,G,,N,Amersham_1741a,,,,
380,1746,Feb,Amersham,B,Scot and Lot,B,Appointed to office,N,Amersham_1746a,,,,
381,1747,June,Amersham,B,Scot and Lot,G,,N,Amersham_1747a,,,,
382,1754,Feb,Amersham,B,Scot and Lot,B,Deceased,N,Amersham_1754a,,,,
383,1754,Apr,Amersham,B,Scot and Lot,G,,N,Amersham_1754b,,,,
384,1761,Mar,Amersham,B,Scot and Lot,G,,N,Amersham_1761a,,,,
385,1767,Dec,Amersham,B,Scot and Lot,B,Deceased,N,Amersham_1767a,,,,
386,1768,Mar,Amersham,B,Scot and Lot,G,,N,Amersham_1768a,,,,
387,1774,Oct,Amersham,B,Scot and Lot,G,,N,Amersham_1774a,,,,
